#Spannung	Strom	Radius
120	0.7	111
130	0.7	114
140	0.7	117
150	0.7	121
160	0.7	124
170	0.7	126
180	0.7	128
190	0.7	131
200	0.7	133
210	0.7	135
220	0.7	138
230	0.7	141
240	0.7	144
250	0.7	146
120	0.5	142
130	0.5	146
140	0.5	151
150	0.5	156
160	0.5	160
170	0.5	164
140	0.45	164	
140	0.5	152
140	0.55	140
140	0.6	132
140	0.65	126
140	0.7	120
140	0.75	112
140	0.8	108
140	0.85	104
140	0.9	101
140	0.95	98 
160	0.5	161
160	0.55	148
160	0.6	139
160	0.65	130
160	0.7	124
160	0.75	118
160	0.8	113
160	0.85	108
160	0.9	104
160	0.95	102
